,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
374,Gavle,8,SE,1554326226,59,60.67,17.14,37.99,6.96
375,Turayf,0,SA,1554325200,54,31.68,38.65,57.2,3.36
376,Rundu,20,NA,1554326371,30,-17.91,19.77,76.95,9.75
377,Simpang,75,MY,1554321600,94,4.82,100.71,78.8,3.36
378,Raglan,100,NZ,1554326147,48,-37.8,174.87,61.0,5.61
379,Cumpas,0,MX,1554326374,16,30.0,-109.78,76.05,6.96
380,Hashtrud,48,IR,1554326375,80,37.48,47.05,32.85,3.94
381,Santa Rosalia,75,IT,1554326321,55,38.07,13.27,63.0,10.29
382,Arti,92,RU,1554326378,80,56.43,58.53,31.77,13.33
383,Malinyi,80,TZ,1554326379,95,-8.94,36.14,70.47,2.37
384,Gazanjyk,0,TM,1554326380,87,39.24,55.52,46.62,3.83
385,Meadow Lake,90,CA,1554321600,64,54.13,-108.44,32.0,10.29
386,Chernyshevskiy,48,RU,1554326382,78,63.01,112.47,19.17,2.37
387,Burg,12,DE,1554326341,79,52.27,11.86,59.0,1.01
388,Los Zacatones,20,MX,1554324900,13,22.95,-102.05,73.4,27.51
389,Hualmay,36,PE,1554326386,76,-11.1,-77.61,74.7,5.39
390,Lulea,0,SE,1554324600,80,65.58,22.15,33.8,8.05
391,Bindi,0,NG,1554326389,20,12.86,8.84,81.0,9.19
392,Vardo,1,US,1554326362,20,39.62,-77.74,68.0,17.22
393,Ormara,12,PK,1554326391,84,25.21,64.64,76.41,10.98
394,Pasighat,32,IN,1554326392,91,28.06,95.33,54.9,1.7
395,Arklow,75,IE,1554326195,86,52.79,-6.14,41.0,10.29
396,Avera,1,US,1554326287,22,33.19,-82.53,73.0,4.7
397,Aksarka,44,RU,1554326396,62,66.56,67.8,11.88,2.82
398,Ngunguru,8,NZ,1554325684,89,-35.62,174.5,64.0,16.46
399,Pervoavgustovskiy,48,RU,1554326398,68,52.23,35.05,28.08,3.6
400,Maniitsoq,76,GL,1554326339,86,65.42,-52.9,21.33,11.1
401,Kyren,64,RU,1554326400,56,51.68,102.13,27.45,3.38
402,Kantorjanosi,92,HU,1554325200,37,47.93,22.15,54.0,6.93
403,Mogadishu,0,SO,1554326403,100,2.04,45.34,82.44,12.88
404,Jupiter,90,US,1554326255,57,26.93,-80.09,75.99,14.99
405,Tessalit,8,ML,1554326405,26,20.2,1.01,77.76,7.07
406,Leh,48,IN,1554326406,78,34.16,77.58,1.44,0.58
407,Magalia,90,US,1554326404,63,39.81,-121.58,62.6,11.41
408,Limon,1,US,1554326386,24,39.26,-103.69,62.01,6.93
409,Chimbote,44,PE,1554326410,92,-9.08,-78.59,72.0,9.19
410,Banda Aceh,12,ID,1554326411,99,5.56,95.32,73.8,2.04
411,Tiksi,80,RU,1554326316,77,71.64,128.87,23.67,6.85
412,Maumere,12,ID,1554326413,100,-8.63,122.22,79.74,3.94
413,Morococha,88,PE,1554326415,100,-11.61,-76.13,42.48,3.38
414,Narragansett,20,US,1554326166,47,41.45,-71.45,64.4,19.46
415,Felipe Carrillo Puerto,0,MX,1554326417,35,19.58,-88.05,92.52,10.2
416,Wawa,20,NG,1554326418,67,9.9,4.41,84.87,2.71
417,Sao Paulo de Olivenca,12,BR,1554326419,89,-3.38,-68.87,79.92,0.58
418,Comodoro Rivadavia,0,AR,1554321600,71,-45.87,-67.48,71.6,16.11
419,Bonavista,88,CA,1554326237,88,48.65,-53.11,30.99,15.99
420,Tynda,80,RU,1554326423,69,55.15,124.74,13.68,2.48
421,Balabac,80,PH,1554326424,100,7.99,117.06,81.72,8.41
422,Paciran,56,ID,1554326425,99,-6.9,112.33,71.28,2.82
423,Tottori,0,JP,1554326204,100,35.5,134.23,26.46,4.16
424,Quelimane,0,MZ,1554325200,83,-17.88,36.89,77.0,3.36
425,Gannan,44,CN,1554326428,63,47.92,123.49,25.74,4.05
426,Kununurra,8,AU,1554323400,68,-15.77,128.74,71.6,2.24
427,Mayo,20,CA,1554321600,22,63.59,-135.9,21.2,18.34
428,Fortuna,0,ES,1554326313,82,38.18,-1.13,64.99,2.24
429,Faya,0,SA,1554325200,82,18.39,42.45,60.8,10.29
430,Clyde River,75,CA,1554321600,78,70.47,-68.59,8.6,8.05
431,Bara,0,NG,1554326435,21,10.41,10.6,81.9,8.41
432,Fiche,56,ET,1554326437,92,9.77,38.74,48.78,2.59
433,Tecoanapa,5,MX,1554324180,70,16.99,-99.26,86.0,5.82
434,Beloha,0,MG,1554326439,84,-25.17,45.06,73.53,8.52
435,Vallenar,8,CL,1554326328,69,-28.58,-70.76,65.88,2.93
436,Lagoa,0,PT,1554325936,54,37.14,-8.45,57.2,12.75
437,Wakkanai,0,JP,1554326443,100,45.41,141.67,35.55,12.21
438,Mount Pleasant,1,US,1554326204,37,33.16,-94.97,73.99,8.05
439,Nahrin,24,AF,1554326445,82,36.06,69.13,50.04,1.14
440,Makakilo City,20,US,1554326443,51,21.35,-158.09,82.4,5.82
441,Kaabong,0,UG,1554326448,64,3.51,34.14,66.78,3.94
442,Lisakovsk,68,KZ,1554326185,100,52.55,62.49,32.58,2.93
443,Birin,8,SY,1554326450,95,35.01,36.67,45.63,1.25
444,Yerbogachen,76,RU,1554326338,92,61.28,108.01,25.65,4.94
445,Seminole,1,US,1554326257,13,32.72,-102.64,82.99,24.16
446,Northam,20,GB,1554326411,100,51.04,-4.21,41.0,6.93
447,Antofagasta,0,CL,1554321600,46,-23.65,-70.4,71.6,8.05
448,Medvezhyegorsk,0,RU,1554326456,77,62.92,34.47,29.25,7.4
449,Palana,44,RU,1554326457,69,59.08,159.95,34.47,10.54
450,Padang,64,ID,1554326458,100,-0.92,100.36,79.2,5.28
451,Bilibino,12,RU,1554326459,82,68.06,166.44,18.0,2.15
452,Hovd,0,NO,1554326402,80,63.83,10.7,39.2,2.24
453,Panzhihua,24,CN,1554326462,90,26.59,101.72,41.58,1.36
454,Gadsden,1,US,1554326157,23,34.01,-86.01,75.2,5.82
455,Khirkiya,0,IN,1554326464,40,22.17,76.86,71.46,2.82
456,Waingapu,0,ID,1554326465,99,-9.65,120.26,68.22,2.82
457,Camargo,0,MX,1554326466,9,27.69,-105.17,83.61,9.75
458,Opotiki,0,NZ,1554326425,74,-38.01,177.29,55.0,8.01
459,Torbat-e Jam,68,IR,1554326468,51,35.24,60.63,52.65,4.27
460,Ponnani,40,IN,1554323400,83,10.77,75.93,82.4,1.48
461,Port-Gentil,20,GA,1554325200,83,-0.72,8.78,82.4,5.82
462,Mount Isa,0,AU,1554323400,53,-20.73,139.49,71.6,6.93
463,Liverpool,20,GB,1554326354,86,53.41,-2.98,41.0,9.17
464,Nandyal,0,IN,1554326474,71,15.47,78.48,73.8,3.15
465,Sisimiut,68,GL,1554326476,96,66.94,-53.67,13.23,11.65
466,Walvis Bay,0,NA,1554325329,72,-22.95,14.51,62.6,4.7
467,Warrington,20,GB,1554326295,86,53.39,-2.59,41.0,9.17
468,Leiyang,92,CN,1554326479,99,26.42,112.85,54.9,4.05
469,Mehamn,90,NO,1554324600,92,71.03,27.85,32.0,14.99
470,Haines Junction,88,CA,1554326325,72,60.75,-137.51,27.45,3.15
471,Shimanovsk,44,RU,1554326482,73,52.0,127.67,18.18,2.37
472,Bathsheba,40,BB,1554321600,58,13.22,-59.52,84.2,21.92
473,Atar,0,MR,1554326485,84,20.52,-13.05,65.52,3.15
474,Sinjai,32,ID,1554326486,100,-5.12,120.25,71.64,2.15
475,Carquefou,0,FR,1554326403,82,47.3,-1.49,41.0,2.24
476,Tarko-Sale,44,RU,1554326358,85,64.92,77.78,10.99,9.42
477,Grand Gaube,75,MU,1554326344,94,-20.01,57.66,77.0,3.36
478,Ponta Delgada,40,PT,1554326183,76,37.73,-25.67,57.2,8.05
479,Manado,20,ID,1554323400,94,1.49,124.85,75.2,2.24
480,Lincoln,40,GB,1554326212,100,53.23,-0.54,39.99,8.05
481,South Venice,1,US,1554326490,39,27.05,-82.42,84.2,3.36
482,Isangel,75,VU,1554325200,78,-19.55,169.27,82.4,11.88
483,Fort Frances,40,CA,1554326113,40,48.61,-93.4,35.01,17.22
484,Ayan,88,TR,1554326498,79,40.67,33.6,37.44,2.04
485,Tilichiki,92,RU,1554326499,87,60.47,166.1,33.57,13.89
486,Kemi,0,FI,1554324600,84,65.74,24.56,32.0,14.99
487,Aron,0,IN,1554326502,52,24.38,77.42,68.04,2.71
488,Chino Valley,40,US,1554326473,23,34.76,-112.45,70.0,16.11
489,Muisne,90,EC,1554321600,83,0.61,-80.02,82.4,5.82
490,Dubbo,64,AU,1554323400,82,-32.25,148.6,57.2,5.82
491,Sao Joao do Paraiso,68,BR,1554326507,66,-15.31,-42.01,77.22,2.59
492,Lewisporte,90,CA,1554326179,33,49.25,-55.06,42.8,14.99
493,Russkaya Polyana,92,RU,1554326509,96,53.78,73.88,37.62,15.79
494,Douentza,68,ML,1554326510,61,15.01,-2.95,85.5,2.71
495,Jabinyanah,20,TN,1554321600,77,35.03,10.91,60.8,4.7
496,Urucara,24,BR,1554326307,69,-2.54,-57.76,87.3,3.49
497,Dong Hoi,100,VN,1554326514,98,17.48,106.6,77.13,2.71
498,Asekeyevo,92,RU,1554326515,91,53.57,52.8,34.02,16.24
499,Krasyliv,0,UA,1554326516,58,49.66,26.97,34.56,11.21
500,Kawalu,80,ID,1554326517,100,-7.38,108.21,65.97,1.7
501,Cookeville,1,US,1554326406,32,36.16,-85.5,73.0,5.82
502,Westport,92,IE,1554326406,84,53.8,-9.52,43.0,7.0
503,Nacala,0,MZ,1554326521,95,-14.56,40.69,80.46,10.87
504,Tandil,0,AR,1554326068,31,-37.33,-59.14,72.0,4.0
505,Masuguru,20,MZ,1554326523,65,-11.38,38.46,77.94,8.63
506,Saint-Georges,92,CA,1554326242,77,46.12,-70.67,39.0,10.0
507,Albanel,90,CA,1554326306,65,48.88,-72.44,41.0,14.99
508,Chauk,0,MM,1554326527,74,20.89,94.82,72.18,6.4
509,Isla Aguada,20,MX,1554324300,62,18.78,-91.49,86.0,6.93
510,Maamba,0,ZM,1554326529,65,-17.36,27.22,64.98,4.72
511,Ardakan,75,IR,1554325200,59,32.31,54.02,60.8,6.93
512,Manaus,75,BR,1554321600,74,-3.13,-59.98,87.8,4.7
513,Tabory,8,PL,1554326347,38,53.89,19.53,50.0,11.01
514,Moosomin,44,CA,1554326534,77,50.14,-101.67,33.75,3.6
515,Temse,0,BE,1554326316,86,51.13,4.21,42.8,6.93
516,Camas,90,US,1554326516,55,45.59,-122.41,62.01,14.99
517,Kampene,68,CD,1554326537,80,-3.59,26.67,75.42,2.37
518,Port Hedland,90,AU,1554323400,100,-20.31,118.58,78.8,12.75
519,Mocuba,8,MZ,1554326540,88,-16.84,36.99,70.47,4.38
520,Nalhati,0,IN,1554326541,66,24.29,87.85,73.44,8.97
521,Srednekolymsk,0,RU,1554326542,80,67.46,153.71,15.3,2.15
522,Simimbaan,68,PH,1554326543,100,17.12,121.58,70.38,2.48
523,Madison,90,US,1554326410,24,43.07,-89.38,57.99,10.29
524,Sao Filipe,12,CV,1554326546,97,14.9,-24.5,70.38,16.35
525,Marawi,64,PH,1554326194,89,8.0,124.29,73.0,5.99
526,Tateyama,40,JP,1554326404,52,36.66,137.31,46.0,8.05
527,Nelson Bay,0,AU,1554326440,100,-32.72,152.14,66.99,6.62
528,Nanyang,88,CN,1554326551,76,33.0,112.53,47.88,2.48
529,Inuvik,75,CA,1554321600,65,68.36,-133.71,6.8,8.05
530,Goderich,0,CA,1554326463,74,43.74,-81.71,45.0,1.01
531,Kirakira,68,SB,1554326554,100,-10.46,161.92,82.8,6.85
532,Corning,1,US,1554326461,23,42.14,-77.05,51.8,26.4
533,Yumen,0,CN,1554326556,45,40.29,97.04,37.89,9.19
534,Ulundi,0,ZA,1554326558,90,-28.29,31.43,55.35,2.37
